Gene ID,Gene Symbol,Description,Alpha-26yF-0018,Alpha-35yF-0028,Alpha-49yF-0015,Alpha-55yM-0021,Alpha-50yM-0037,Beta-50yM-0038,Beta-49yF-0016,Beta-35yF-0029,Beta-26yF-0019,Beta-55yM-0022,Chromosome,Start,End,Entrez ID,Gene Type
ENSG00000237683,AL627309.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:R4GN28],113,92,69,97,57,34,56,106,135,108,chr1,134901,139379,,protein_coding
ENSG00000188976,NOC2L,nucleolar complex associated 2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24517],81,54,134,81,78,111,272,131,190,132,chr1,879584,894689,26155,protein_coding
ENSG00000078808,SDF4,stromal cell derived factor 4 [Source:HGNC Symbol;Acc:24188],147,233,125,152,178,213,117,210,151,130,chr1,1152288,1167411,51150,protein_coding
ENSG00000176022,B3GALT6,"UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 [Source:HGNC Symbol;Acc:17978]",51,176,143,85,37,50,190,133,96,65,chr1,1167629,1170421,126792,protein_coding
ENSG00000160087,UBE2J2,"ubiquitin-conjugating enzyme E2, J2 [Source:HGNC Symbol;Acc:19268]",101,166,130,126,108,70,91,60,132,109,chr1,1189289,1209265,118424,protein_coding
ENSG00000131584,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:16754]",329,401,228,209,237,166,269,230,360,250,chr1,1227756,1244989,116983,protein_coding
ENSG00000169972,PUSL1,pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:26914],45,70,83,89,41,55,63,176,56,96,chr1,1243947,1247057,126789,protein_coding
ENSG00000127054,CPSF3L,cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol;Acc:26052],250,279,359,275,195,269,232,221,229,382,chr1,1246965,1260071,54973,protein_coding
ENSG00000107404,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:3084],137,197,217,314,243,386,191,301,134,334,chr1,1270656,1284730,1855,protein_coding
ENSG00000175756,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:24114],115,147,177,126,127,191,154,225,199,156,chr1,1309110,1310875,54998,protein_coding
ENSG00000221978,CCNL2,cyclin L2 [Source:HGNC Symbol;Acc:20570],997,2142,1665,1986,2077,1787,1541,2076,1222,1547,chr1,1321091,1334708,81669,protein_coding
ENSG00000224870,RP4-758J18.2,"HCG20425, isoform CRA_a; Uncharacterized protein; cDNA FLJ53815  [Source:UniProtKB/TrEMBL;Acc:B4DNA4]",213,240,109,121,83,78,92,117,120,129,chr1,1334902,1337426,,protein_coding
ENSG00000242485,MRPL20,mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:14478],207,171,265,279,228,285,248,260,223,267,chr1,1337288,1342693,55052,protein_coding
ENSG00000235098,ANKRD65,ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:42950],315,681,357,404,371,435,393,406,359,470,chr1,1353800,1357149,441869,protein_coding
ENSG00000179403,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:30910],393,440,500,389,568,172,161,179,139,69,chr1,1370241,1378262,64856,protein_coding
ENSG00000215915,ATAD3C,"ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:32151]",586,510,484,568,396,385,402,543,260,288,chr1,1385069,1405538,219293,protein_coding
ENSG00000160072,ATAD3B,"ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:24007]",40,79,62,30,49,75,44,150,62,38,chr1,1407143,1433228,83858,protein_coding
ENSG00000197785,ATAD3A,"ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:25567]",36,31,37,56,28,69,41,44,67,72,chr1,1447531,1470067,,protein_coding
ENSG00000160075,SSU72,SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25016],538,627,611,448,343,526,473,396,504,837,chr1,1477053,1510249,29101,protein_coding
ENSG00000197530,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:30577],43,86,67,85,108,100,60,126,61,102,chr1,1550795,1565990,142678,protein_coding
ENSG00000189339,SLC35E2B,"solute carrier family 35, member E2B [Source:HGNC Symbol;Acc:33941]",143,165,347,303,250,276,324,243,148,481,chr1,1592939,1624167,728661,protein_coding
ENSG00000008128,CDK11A,cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730],238,159,204,234,243,235,236,145,186,217,chr1,1634169,1655766,,protein_coding
ENSG00000008130,NADK,NAD kinase [Source:HGNC Symbol;Acc:29831],170,198,369,266,207,198,290,243,92,188,chr1,1682671,1711896,65220,protein_coding
